selection_policy,budget_fraction,value_retention_mean,ci95_low,ci95_high,n_cells,candidate_updates_total,value_retention_per_cell_mean,value_definition
LearnedLogistic,0.8,0.8720387281450144,0.8462482944173603,0.8966557055235548,52,2133,0.8720387281450144,next_use_all_policies
LearnedLogistic,1.0,1.0,1.0,1.0,52,2133,1.0,next_use_all_policies
Oracle,0.1,0.26927044131763667,0.2443216310433358,0.29980201949678437,52,2133,0.26927044131763667,next_use_all_policies
Oracle,0.2,0.4936066214644224,0.4563238563188325,0.5302167145557514,52,2133,0.4936066214644224,next_use_all_policies
Oracle,0.3,0.7102563075115,0.6705248573567572,0.7475322507064136,52,2133,0.7102563075115,next_use_all_policies
Oracle,0.4,0.8359471272383908,0.7978954993292118,0.8704915072692091,52,2133,0.8359471272383908,next_use_all_policies
Oracle,0.5,0.9215540734377932,0.8904099649122754,0.9484814369891797,52,2133,0.9215540734377932,next_use_all_policies
Oracle,0.6,0.9808941126444968,0.9641568844627096,0.9929539260428669,52,2133,0.9808941126444968,next_use_all_policies
Oracle,0.8,0.9969009316295881,0.9907027948887644,1.0,52,2133,0.9969009316295881,next_use_all_policies
Oracle,1.0,1.0,1.0,1.0,52,2133,1.0,next_use_all_policies
Random,0.1,0.10384794083588142,0.09626084978041387,0.11274631073936105,52,2133,0.10384794083588142,next_use_all_policies
Random,0.2,0.1941805858036603,0.18698679748182212,0.20093066394262799,52,2133,0.1941805858036603,next_use_all_policies
Random,0.3,0.2978209710250306,0.2895236656617485,0.3074485961032395,52,2133,0.2978209710250306,next_use_all_policies
Random,0.4,0.3901311464511237,0.3787779877416602,0.4004233417063664,52,2133,0.3901311464511237,next_use_all_policies
Random,0.5,0.49788078227857646,0.489403376943211,0.5066929846728623,52,2133,0.49788078227857646,next_use_all_policies
Random,0.6,0.6054951027771306,0.5976279516553106,0.6132946664802963,52,2133,0.6054951027771306,next_use_all_policies
Random,0.8,0.8012131763732977,0.7938962366697564,0.8084480209865068,52,2133,0.8012131763732977,next_use_all_policies
Random,1.0,1.0,1.0,1.0,52,2133,1.0,next_use_all_policies
SimpleCoverageLoad,0.1,0.060147892099096205,0.04897042683676452,0.07237002902789876,52,2133,0.060147892099096205,next_use_all_policies
SimpleCoverageLoad,0.2,0.14501323747500422,0.12186952817971705,0.16865210088747015,52,2133,0.14501323747500422,next_use_all_policies
SimpleCoverageLoad,0.3,0.2633845980703815,0.23146847524923475,0.295398367779052,52,2133,0.2633845980703815,next_use_all_policies
SimpleCoverageLoad,0.4,0.37622483512177196,0.33717675864884933,0.4182155250358901,52,2133,0.37622483512177196,next_use_all_policies
SimpleCoverageLoad,0.5,0.5119862568159206,0.4607001063854359,0.5661335330887787,52,2133,0.5119862568159206,next_use_all_policies
SimpleCoverageLoad,0.6,0.6635970167950324,0.6213953653496562,0.7085715167575111,52,2133,0.6635970167950324,next_use_all_policies
SimpleCoverageLoad,0.8,0.8713736659237302,0.8430273059141777,0.8986162730384192,52,2133,0.8713736659237302,next_use_all_policies
SimpleCoverageLoad,1.0,1.0,1.0,1.0,52,2133,1.0,next_use_all_policies
